cycle_id,event,start,end,duration_sec,latitude,longitude,cluster_key,is_complete
,espera_basculamento,2025-12-12T11:22:12-03:00,2025-12-12T11:24:42-03:00,151,-11.694127,-47.166172,"-11.694,-47.166",1
,espera_basculamento,2025-12-12T13:35:33-03:00,2025-12-12T13:36:27-03:00,55,-11.693874,-47.165829,"-11.694,-47.166",1
,espera_basculamento,2025-12-12T13:37:02-03:00,2025-12-12T13:37:30-03:00,29,-11.693824,-47.165738,"-11.694,-47.166",1
3,espera_basculamento,2025-12-12T14:08:50-03:00,2025-12-12T14:09:52-03:00,63,-11.694150,-47.165527,"-11.694,-47.166",1
,espera_basculamento,2025-12-12T14:49:42-03:00,2025-12-12T14:50:28-03:00,47,-11.692388,-47.164855,"-11.692,-47.165",1
,espera_basculamento,2025-12-12T15:12:09-03:00,2025-12-12T15:13:10-03:00,62,-11.692663,-47.164070,"-11.693,-47.164",1
5,espera_basculamento,2025-12-12T15:34:59-03:00,2025-12-12T15:35:53-03:00,55,-11.692571,-47.164776,"-11.693,-47.165",1
,espera_basculamento,2025-12-12T15:56:03-03:00,2025-12-12T15:56:58-03:00,56,-11.692599,-47.164779,"-11.693,-47.165",1
,espera_basculamento,2025-12-12T16:16:23-03:00,2025-12-12T16:17:03-03:00,41,-11.692660,-47.165403,"-11.693,-47.165",1
,espera_basculamento,2025-12-12T16:17:13-03:00,2025-12-12T16:17:37-03:00,25,-11.692669,-47.165364,"-11.693,-47.165",1
,espera_basculamento,2025-12-12T16:36:11-03:00,2025-12-12T16:36:56-03:00,46,-11.692794,-47.164350,"-11.693,-47.164",1
,espera_basculamento,2025-12-12T16:56:34-03:00,2025-12-12T16:57:15-03:00,42,-11.692837,-47.164457,"-11.693,-47.164",1
7,espera_basculamento,2025-12-12T17:16:48-03:00,2025-12-12T17:17:08-03:00,21,-11.692574,-47.165112,"-11.693,-47.165",1
,espera_basculamento,2025-12-12T17:55:20-03:00,2025-12-12T17:55:55-03:00,36,-11.692605,-47.164912,"-11.693,-47.165",1
,espera_basculamento,2025-12-12T18:15:57-03:00,2025-12-12T18:17:00-03:00,64,-11.692675,-47.164978,"-11.693,-47.165",1
11,espera_basculamento,2025-12-12T19:46:11-03:00,2025-12-12T19:46:44-03:00,34,-11.692690,-47.165344,"-11.693,-47.165",1
11,espera_basculamento,2025-12-12T19:46:59-03:00,2025-12-12T19:47:19-03:00,21,-11.692716,-47.165282,"-11.693,-47.165",1
12,espera_basculamento,2025-12-12T20:04:26-03:00,2025-12-12T20:05:08-03:00,43,-11.692797,-47.165388,"-11.693,-47.165",1
12,espera_basculamento,2025-12-12T20:05:22-03:00,2025-12-12T20:05:38-03:00,17,-11.692759,-47.165341,"-11.693,-47.165",1
14,espera_basculamento,2025-12-12T20:45:29-03:00,2025-12-12T20:46:08-03:00,40,-11.692874,-47.165427,"-11.693,-47.165",1
17,espera_basculamento,2025-12-12T22:03:16-03:00,2025-12-12T22:04:08-03:00,53,-11.692607,-47.164302,"-11.693,-47.164",1
17,espera_basculamento,2025-12-12T22:06:38-03:00,2025-12-12T22:09:14-03:00,157,-11.692077,-47.164234,"-11.692,-47.164",1
,espera_basculamento,2025-12-12T22:52:17-03:00,2025-12-12T22:52:54-03:00,38,-11.692708,-47.165101,"-11.693,-47.165",1
,espera_basculamento,2025-12-12T22:53:07-03:00,2025-12-13T00:11:12-03:00,4686,-11.692751,-47.165135,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T00:31:57-03:00,2025-12-13T00:32:36-03:00,40,-11.692810,-47.165164,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T00:59:25-03:00,2025-12-13T01:00:03-03:00,39,-11.692778,-47.165236,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T01:00:15-03:00,2025-12-13T01:00:30-03:00,16,-11.692846,-47.165221,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T01:01:30-03:00,2025-12-13T01:03:45-03:00,136,-11.693517,-47.164250,"-11.694,-47.164",1
,espera_basculamento,2025-12-13T01:04:05-03:00,2025-12-13T01:07:53-03:00,229,-11.693583,-47.164309,"-11.694,-47.164",1
,espera_basculamento,2025-12-13T02:24:47-03:00,2025-12-13T02:25:29-03:00,43,-11.692919,-47.165221,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T02:25:42-03:00,2025-12-13T02:25:58-03:00,17,-11.693000,-47.165252,"-11.693,-47.165",1
24,espera_basculamento,2025-12-13T03:10:07-03:00,2025-12-13T03:10:24-03:00,18,-11.692989,-47.165238,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T03:30:33-03:00,2025-12-13T03:47:33-03:00,1021,-11.694533,-47.165957,"-11.695,-47.166",1
25,espera_basculamento,2025-12-13T03:49:16-03:00,2025-12-13T03:50:03-03:00,48,-11.692923,-47.165212,"-11.693,-47.165",1
26,espera_basculamento,2025-12-13T04:13:06-03:00,2025-12-13T04:13:22-03:00,17,-11.693086,-47.165261,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T04:59:57-03:00,2025-12-13T05:00:42-03:00,46,-11.692998,-47.165186,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T05:00:58-03:00,2025-12-13T05:04:41-03:00,224,-11.693031,-47.165149,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T05:47:28-03:00,2025-12-13T05:48:11-03:00,44,-11.692847,-47.165942,"-11.693,-47.166",1
31,espera_basculamento,2025-12-13T06:05:56-03:00,2025-12-13T06:06:39-03:00,44,-11.692897,-47.165532,"-11.693,-47.166",1
,espera_basculamento,2025-12-13T06:46:14-03:00,2025-12-13T06:46:50-03:00,37,-11.694379,-47.165227,"-11.694,-47.165",1
,espera_basculamento,2025-12-13T06:47:06-03:00,2025-12-13T06:54:13-03:00,428,-11.694282,-47.165247,"-11.694,-47.165",1
,espera_basculamento,2025-12-13T07:38:01-03:00,2025-12-13T07:38:36-03:00,36,-11.692766,-47.164758,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T07:59:15-03:00,2025-12-13T07:59:49-03:00,35,-11.692845,-47.164776,"-11.693,-47.165",1
,espera_basculamento,2025-12-13T08:00:06-03:00,2025-12-13T08:00:37-03:00,32,-11.692918,-47.164807,"-11.693,-47.165",1
34,espera_basculamento,2025-12-13T09:05:19-03:00,2025-12-13T09:09:20-03:00,242,-11.694224,-47.165052,"-11.694,-47.165",1
,espera_basculamento,2025-12-13T10:11:58-03:00,2025-12-13T10:13:16-03:00,79,-11.694012,-47.164166,"-11.694,-47.164",1
,espera_basculamento,2025-12-13T10:13:19-03:00,2025-12-13T10:13:35-03:00,17,-11.693997,-47.164171,"-11.694,-47.164",1
,espera_basculamento,2025-12-13T10:13:39-03:00,2025-12-13T10:15:28-03:00,110,-11.694007,-47.164190,"-11.694,-47.164",1
35,espera_basculamento,2025-12-13T11:41:10-03:00,2025-12-13T11:43:49-03:00,160,-11.694126,-47.164350,"-11.694,-47.164",1
35,espera_basculamento,2025-12-13T11:43:59-03:00,2025-12-13T11:47:33-03:00,215,-11.694110,-47.164357,"-11.694,-47.164",1
,espera_basculamento,2025-12-13T11:47:42-03:00,2025-12-13T11:48:08-03:00,27,-11.694120,-47.164363,"-11.694,-47.164",1
